From,To,Distance
Location1,Location2,26.0
Location1,Location3,82.0
Location1,Location4,65.0
Location1,Location5,102.0
Location1,Location6,100.0
Location1,Location7,147.0
Location1,Location8,134.0
Location1,Location9,69.0
Location1,Location10,117.0
Location1,Location11,125.0
Location1,Location12,38.0
Location1,Location13,40.0
Location1,Location14,13.0
Location1,Location15,38.0
Location1,Location16,31.0
Location1,Location17,22.0
Location1,Location18,103.0
Location1,Location19,143.0
Location1,Location20,94.0
Location1,Location21,104.0
Location1,Location22,123.0
Location1,Location23,140.0
Location1,Location24,98.0
Location1,Location25,58.0
Location1,Location26,38.0
Location1,Location27,30.0
Location1,Location28,67.0
Location1,Location29,120.0
Location1,Location30,149.0
Location1,Location31,100.0
Location1,Location32,141.0
Location1,Location33,93.0
Location1,Location34,162.0
Location1,Location35,62.0
Location1,Location36,66.0
Location2,Location1,66.0
Location2,Location3,56.0
Location2,Location4,39.0
Location2,Location5,76.0
Location2,Location6,109.0
Location2,Location7,156.0
Location2,Location8,140.0
Location2,Location9,135.0
Location2,Location10,183.0
Location2,Location11,190.0
Location2,Location12,104.0
Location2,Location13,76.0
Location2,Location14,79.0
Location2,Location15,104.0
Location2,Location16,97.0
Location2,Location17,88.0
Location2,Location18,130.0
Location2,Location19,176.0
Location2,Location20,121.0
Location2,Location21,131.0
Location2,Location22,150.0
Location2,Location23,167.0
Location2,Location24,125.0
Location2,Location25,85.0
Location2,Location26,65.0
Location2,Location27,57.0
Location2,Location28,94.0
Location2,Location29,147.0
Location2,Location30,160.0
Location2,Location31,80.0
Location2,Location32,162.0
Location2,Location33,67.0
Location2,Location34,189.0
Location2,Location35,128.0
Location2,Location36,40.0
Location3,Location1,43.0
Location3,Location2,57.0
Location3,Location4,16.0
Location3,Location5,20.0
Location3,Location6,53.0
Location3,Location7,100.0
Location3,Location8,84.0
Location3,Location9,107.0
Location3,Location10,155.0
Location3,Location11,168.0
Location3,Location12,81.0
Location3,Location13,53.0
Location3,Location14,56.0
Location3,Location15,81.0
Location3,Location16,74.0
Location3,Location17,65.0
Location3,Location18,146.0
Location3,Location19,186.0
Location3,Location20,137.0
Location3,Location21,147.0
Location3,Location22,166.0
Location3,Location23,183.0
Location3,Location24,141.0
Location3,Location25,101.0
Location3,Location26,81.0
Location3,Location27,73.0
Location3,Location28,110.0
Location3,Location29,163.0
Location3,Location30,164.0
Location3,Location31,102.0
Location3,Location32,166.0
Location3,Location33,71.0
Location3,Location34,205.0
Location3,Location35,105.0
Location3,Location36,62.0
Location4,Location1,27.0
Location4,Location2,41.0
Location4,Location3,62.0
Location4,Location5,82.0
Location4,Location6,97.0
Location4,Location7,144.0
Location4,Location8,131.0
Location4,Location9,96.0
Location4,Location10,144.0
Location4,Location11,152.0
Location4,Location12,65.0
Location4,Location13,37.0
Location4,Location14,40.0
Location4,Location15,65.0
Location4,Location16,58.0
Location4,Location17,49.0
